Hollandaca;Türkçe;sınav önceliği
de man;adam / erkek;
de vrouw;kadın;
de jongen;erkek çocuk / oğlan;
het meisje;kız çocuk / kız;
het kind;çocuk;
de baby;bebek;
de persoon;kişi;
de mensen;insanlar;
de vriend;erkek arkadaş / dost;
de vriendin;kız arkadaş / kadın arkadaş;
de buurman;erkek komşu;
de buurvrouw;kadın komşu;
de collega;iş arkadaşı;
de baas;patron;
de klant;müşteri;
de dokter;doktor;
de leraar;öğretmen (erkek);
de lerares;öğretmen (kadın);
de student;öğrenci;
de leerling;öğrenci / okul öğrencisi;
de familie;aile;
de vader;baba;
de moeder;anne;
de ouders;ebeveynler;
de zoon;oğul;
de dochter;kız evlat;
de broer;erkek kardeş;
de zus;kız kardeş;
de man;koca / eş;
de vrouw;eş / karı;
de partner;partner / eş;
de opa;dede;
de oma;büyükanne;
de grootouders;büyükanne ve büyükbaba;
de oom;amca / dayı / erkek akraba;
de tante;teyze / hala;
de neef;erkek kuzen / yeğen;
de nicht;kız kuzen / yeğen;
de ouders;anne-baba;
getrouwd;evli;
alleenstaand;bekar / yalnız yaşayan;
gescheiden;boşanmış;
de naam;isim;
de voornaam;ad;
de achternaam;soyadı;
de leeftijd;yaş;
de verjaardag;doğum günü;
de geboortedatum;doğum tarihi;
de geboorteplaats;doğum yeri;
het adres;adres;
de straat;sokak / cadde;
het huisnummer;ev numarası;
de postcode;posta kodu;
de woonplaats;ikamet edilen yer;
het land;ülke;
de nationaliteit;uyruk / milliyet;
het telefoonnummer;telefon numarası;
het e-mailadres;e-posta adresi;
het paspoort;pasaport;
de identiteitskaart;kimlik kartı;
Wie?;Kim?;
Wat?;Ne?;
Waar?;Nerede?;
Waarvandaan?;Nereden?;
Waarheen?;Nereye?;
Wanneer?;Ne zaman?;
Waarom?;Neden?;
Hoe?;Nasıl?;
Hoeveel?;Ne kadar / kaç?;
Welke?;Hangi?;
ik;ben;
jij / je;sen;
u;siz;
hij;o (erkek);
zij / ze;o (kadın);
het;o (cansız / nötr);
wij / we;biz;
jullie;siz (çoğul);
zij / ze;onlar;
zijn;olmak;
hebben;sahip olmak;
heten;adı olmak;
wonen;yaşamak / ikamet etmek;
komen;gelmek;
gaan;gitmek;
doen;yapmak;
maken;yapmak / üretmek;
werken;çalışmak;
leren;öğrenmek;
studeren;eğitim görmek;
spreken;konuşmak;
zeggen;söylemek;
vragen;sormak;
antwoorden;cevaplamak;
luisteren;dinlemek;
lezen;okumak;
schrijven;yazmak;
kijken;bakmak / izlemek;
zien;görmek;
horen;duymak;
begrijpen;anlamak;
weten;bilmek;
kennen;tanımak / bilmek;
vinden;bulmak / düşünmek;
geven;vermek;
krijgen;almak / elde etmek;
nemen;almak;
geven;vermek;
willen;istemek;
kunnen;yapabilmek;
moeten;zorunda olmak;
mogen;izinli olmak;
kunnen;-ebilmek;
proberen;denemek;
helpen;yardım etmek;
wachten;beklemek;
zoeken;aramak;
gebruiken;kullanmak;
kopen;satın almak;
betalen;ödemek;
eten;yemek;
drinken;içmek;
slapen;uyumak;
wonen;yaşamak;
goed;iyi;
slecht;kötü;
moe;yorgun;
ziek;hasta;
gezond;sağlıklı;
blij;mutlu;
verdrietig;üzgün;
boos;kızgın;
bang;korkmuş;
druk;meşgul / yoğun;
rustig;sakin;
hongerig;aç;
dorstig;susamış;
warm;sıcak;
koud;soğuk;
lekker;lezzetli / güzel;
leuk;hoş / eğlenceli;
mooi;güzel;
moeilijk;zor;
makkelijk;kolay;
hallo;merhaba;
hoi;selam;
goedemorgen;günaydın;
goedemiddag;iyi günler;
goedenavond;iyi akşamlar;
welterusten;iyi geceler;
tot ziens;görüşmek üzere;
tot morgen;yarın görüşürüz;
bedankt;teşekkürler;
dank je;teşekkür ederim;
graag gedaan;rica ederim;
alsjeblieft;lütfen / buyur;
sorry;üzgünüm / pardon;
geen probleem;sorun değil;
ja;evet;
nee;hayır;
misschien;belki;
natuurlijk;tabii / elbette;
goed;iyi / tamam;
prima;harika / tamam;
nul;0;
één;1;
twee;2;
drie;3;
vier;4;
vijf;5;
zes;6;
zeven;7;
acht;8;
negen;9;
tien;10;
elf;11;
twaalf;12;
dertien;13;
veertien;14;
vijftien;15;
zestien;16;
zeventien;17;
achttien;18;
negentien;19;
twintig;20;
dertig;30;
veertig;40;
vijftig;50;
honderd;100;
duizend;1000;
jong;genç;
oud;yaşlı / eski;
volwassen;yetişkin;
klein;küçük;
groot;büyük;
aardig;hoş / nazik;
vriendelijk;arkadaş canlısı;
alleen;yalnız / tek;
samen;birlikte;
getrouwd;evli;
verliefd;aşık;
jarig;doğum günü olan;
geboren;doğmuş;
Nederlands;Hollandalı / Hollandaca;
Turks;Türk / Türkçe;
buitenlander;yabancı;
de buitenlander;yabancı kişi;
de vraag;soru;
het antwoord;cevap;
de taal;dil;
het woord;kelime;
de zin;cümle;
de naam;isim;
het gesprek;konuşma;
het verhaal;hikâye / anlatı;
de brief;mektup;
de boodschap;mesaj;
de informatie;bilgi;
de uitleg;açıklama;
het voorbeeld;örnek;
de betekenis;anlam;
wonen;yaşamak;
leven;yaşamak / hayat sürmek;
blijven;kalmak;
beginnen;başlamak;
stoppen;durmak / bırakmak;
wachten;beklemek;
helpen;yardım etmek;
zoeken;aramak;
vinden;bulmak;
houden van;sevmek;
voelen;hissetmek;
denken;düşünmek;
geloven;inanmak;
hopen;umut etmek;
kiezen;seçmek;
leren;öğrenmek;
vergeten;unutmak;
onthouden;hatırlamak / akılda tutmak;
oefenen;pratik yapmak;
proberen;denemek;
vragen;sormak;
vertellen;anlatmak;
uitleggen;açıklamak;
herhalen;tekrarlamak;
verstaan;söyleneni anlamak;
betekenen;anlamına gelmek;
ook;de / ayrıca;
niet;değil / -me, -ma;
wel;ise / gerçekten / karşıtlık vurgusu;
heel;çok / oldukça;
erg;çok / oldukça;
meer;daha fazla;
minder;daha az;
veel;çok / birçok;
weinig;az;
genoeg;yeterince;
altijd;her zaman;
vaak;sık sık;
soms;bazen;
nooit;asla / hiç;
weer;tekrar / yine;
nog;hâlâ / daha;
al;zaten / çoktan;
alleen;sadece / yalnız;
samen;birlikte;
bijna;neredeyse;
misschien;belki;
de leeftijd;yaş;
jaar;yıl / yaş;
oud;yaşında / yaşlı;
de datum;tarih;
vandaag;bugün;
gisteren;dün;
morgen;yarın;
nu;şimdi;
later;sonra;
vroeger;eskiden;
binnenkort;yakında;
de verjaardag;doğum günü;
geboren worden;doğmak;
trouwen;evlenmek;
scheiden;boşanmak;
het huis;ev;⭐⭐⭐ ÇOK ÖNEMLİ
de woning;konut / ev;⭐⭐⭐ ÇOK ÖNEMLİ
het appartement;apartman dairesi;A1
de kamer;oda;⭐⭐⭐ ÇOK ÖNEMLİ
de woonkamer;oturma odası / salon;⭐⭐⭐ ÇOK ÖNEMLİ
de slaapkamer;yatak odası;⭐⭐⭐ ÇOK ÖNEMLİ
de keuken;mutfak;⭐⭐⭐ ÇOK ÖNEMLİ
de badkamer;banyo;⭐⭐⭐ ÇOK ÖNEMLİ
het toilet;tuvalet;⭐⭐⭐ ÇOK ÖNEMLİ
de gang;koridor;A1
de hal;hol / antre;A1
de tuin;bahçe;A1
het balkon;balkon;A1
de garage;garaj;A1
de trap;merdiven;A1
de deur;kapı;⭐⭐⭐ ÇOK ÖNEMLİ
het raam;pencere;⭐⭐⭐ ÇOK ÖNEMLİ
de muur;duvar;A1
de vloer;zemin / döşeme;A1
het plafond;tavan;A1
het dak;çatı;A1
de sleutel;anahtar;⭐⭐⭐ ÇOK ÖNEMLİ
de tafel;masa;⭐⭐⭐ ÇOK ÖNEMLİ
de stoel;sandalye;⭐⭐⭐ ÇOK ÖNEMLİ
de bank;koltuk / kanepe;A1
het bed;yatak;⭐⭐⭐ ÇOK ÖNEMLİ
de kast;dolap;⭐⭐⭐ ÇOK ÖNEMLİ
de kledingkast;giysi dolabı;A1
de boekenkast;kitaplık;A1
het bureau;çalışma masası;A1
de lamp;lamba;A1
de spiegel;ayna;A1
het tapijt;halı;A1
het gordijn;perde;A1
de televisie;televizyon;A1
de koelkast;buzdolabı;⭐⭐⭐ ÇOK ÖNEMLİ
de vriezer;dondurucu;A1
de oven;fırın;⭐⭐⭐ ÇOK ÖNEMLİ
de magnetron;mikrodalga;A1
het fornuis;ocak;A1
de vaatwasser;bulaşık makinesi;A1
de wasmachine;çamaşır makinesi;⭐⭐⭐ ÇOK ÖNEMLİ
de droger;kurutma makinesi;A1
de douche;duş;⭐⭐⭐ ÇOK ÖNEMLİ
het bad;küvet;A1
de wastafel;lavabo;A1
de wc;tuvalet;A1
de wasbak;lavabo / evye;A1
het bord;tabak;A1
het glas;bardak;A1
de kop;fincan;A1
de mok;kupa;A1
de lepel;kaşık;A1
de vork;çatal;A1
het mes;bıçak;A1
de pan;tencere / tava;A1
de pot;tencere / kavanoz;A1
de fles;şişe;A1
het kopje;küçük fincan;A1
de kom;kase;A1
het servet;peçete;A1
de handdoek;havlu;A1
de zeep;sabun;A1
de tandenborstel;diş fırçası;A1
de tandpasta;diş macunu;A1
het toiletpapier;tuvalet kağıdı;A1
de kleding;kıyafet / giysi;⭐⭐⭐ ÇOK ÖNEMLİ
het shirt;gömlek / tişört;A1
het T-shirt;tişört;A1
de broek;pantolon;⭐⭐⭐ ÇOK ÖNEMLİ
de spijkerbroek;kot pantolon;A1
de rok;etek;A1
de jurk;elbise;A1
de trui;kazak;A1
de jas;ceket / mont;⭐⭐⭐ ÇOK ÖNEMLİ
de schoenen;ayakkabılar;⭐⭐⭐ ÇOK ÖNEMLİ
de sokken;çoraplar;A1
de pyjama;pijama;A1
de hoed;şapka;A1
de muts;bere;A1
de sjaal;atkı;A1
de handschoenen;eldivenler;A1
de riem;kemer;A1
de tas;çanta;A1
de zak;cep / poşet;A1
aantrekken;giymek;A1
uitdoen;çıkarmak;A1
wonen;yaşamak / oturmak;⭐⭐⭐ ÇOK ÖNEMLİ
zitten;oturmak;⭐⭐⭐ ÇOK ÖNEMLİ
staan;ayakta durmak;⭐⭐⭐ ÇOK ÖNEMLİ
liggen;yatmak / durmak;⭐⭐⭐ ÇOK ÖNEMLİ
slapen;uyumak;⭐⭐⭐ ÇOK ÖNEMLİ
wakker worden;uyanmak;A1
opstaan;kalkmak / yataktan çıkmak;⭐⭐⭐ ÇOK ÖNEMLİ
douchen;duş almak;A1
wassen;yıkamak;⭐⭐⭐ ÇOK ÖNEMLİ
poetsen;temizlemek / fırçalamak;A1
koken;yemek pişirmek;⭐⭐⭐ ÇOK ÖNEMLİ
eten;yemek;⭐⭐⭐ ÇOK ÖNEMLİ
drinken;içmek;⭐⭐⭐ ÇOK ÖNEMLİ
afwassen;bulaşık yıkamak;A1
schoonmaken;temizlemek;⭐⭐⭐ ÇOK ÖNEMLİ
stofzuigen;elektrik süpürgesiyle süpürmek;A1
wassen;çamaşır yıkamak;⭐⭐⭐ ÇOK ÖNEMLİ
strijken;ütülemek;A1
opruimen;toplamak / düzenlemek;A1
openen;açmak;⭐⭐⭐ ÇOK ÖNEMLİ
sluiten;kapatmak;⭐⭐⭐ ÇOK ÖNEMLİ
aanzetten;açmak / çalıştırmak;⭐⭐⭐ ÇOK ÖNEMLİ
uitzetten;kapatmak;⭐⭐⭐ ÇOK ÖNEMLİ
doen;yapmak;A1
gebruiken;kullanmak;⭐⭐⭐ ÇOK ÖNEMLİ
pakken;almak / eline almak;⭐⭐⭐ ÇOK ÖNEMLİ
leggen;koymak / yatırmak;⭐⭐⭐ ÇOK ÖNEMLİ
zetten;koymak / dik konumda yerleştirmek;⭐⭐⭐ ÇOK ÖNEMLİ
brengen;getirmek / götürmek;⭐⭐⭐ ÇOK ÖNEMLİ
halen;alıp getirmek;A1
bewaren;saklamak;A1
de ochtend;sabah;⭐⭐⭐ ÇOK ÖNEMLİ
de middag;öğleden sonra;⭐⭐⭐ ÇOK ÖNEMLİ
de avond;akşam;⭐⭐⭐ ÇOK ÖNEMLİ
de nacht;gece;⭐⭐⭐ ÇOK ÖNEMLİ
de dag;gün;⭐⭐⭐ ÇOK ÖNEMLİ
de week;hafta;⭐⭐⭐ ÇOK ÖNEMLİ
het weekend;hafta sonu;⭐⭐⭐ ÇOK ÖNEMLİ
de vakantie;tatil;⭐⭐⭐ ÇOK ÖNEMLİ
de vrije tijd;boş zaman;A1
